Symptom,Echo-Friendly Description,Tier,Sample Weights,Vault Card Tags
"Do you often feel like you’re ‘behind’ — in work, life, goals — even if others say you’re doing fine?",Like you’re constantly catching up to an invisible standard?,Tier 2,"{'ADHD': 1.0, 'Depression': 0.5, 'GAD': 0.5}","{'condition': ['ADHD', 'Depression', 'GAD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you have strong emotional responses to being misunderstood?,Like not being seen accurately hits deeper than it should?,Tier 1,"{'Autism': 1.0, 'BPD': 0.5}","{'condition': ['Autism', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': ['compare_support']}"
Do you feel like your brain runs best at night — even if it wrecks your sleep?,"Like you come alive after the sun sets, but regret it the next day?",Tier 2,"{'ADHD': 1.0, 'Bipolar_II': 0.5}","{'condition': ['ADHD', 'Bipolar_II'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you avoid certain people or places because of old emotional memories tied to them?,"Even if the threat is gone, the feeling sticks?",Tier 1,"{'CPTSD': 1.0, 'PTSD': 0.5}","{'condition': ['CPTSD', 'PTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you find it hard to explain how you're feeling — even to people close to you?,"Like there’s emotion in your body, but no language for it?",Tier 2,"{'Autism': 1.0, 'CPTSD': 0.5, 'Depression': 0.5}","{'condition': ['Autism', 'CPTSD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you frequently overthink your own behavior — even after the moment has passed?,"Like you relive how you said something, analyzing every word?",Tier 1,"{'GAD': 1.0, 'OCD': 0.5}","{'condition': ['GAD', 'OCD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes feel like you’re performing a version of yourself that others expect?,"Like you wear a personality that fits the room, even if it’s not yours?",Tier 2,"{'CPTSD': 1.0, 'Autism': 0.5, 'BPD': 0.5}","{'condition': ['CPTSD', 'Autism', 'BPD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you find your emotions feel delayed — like you only process things hours or days later?,"Like it doesn’t hit you in the moment, but floods in later?",Tier 2,"{'CPTSD': 1.0, 'Autism': 0.5}","{'condition': ['CPTSD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you often interrupt people — even when you don’t mean to?,Like your thoughts feel urgent and slip out before you can stop them?,Tier 1,"{'ADHD': 1.0, 'Autism': 0.5}","{'condition': ['ADHD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you find yourself doing or saying things just to avoid silence?,Like filling the quiet is easier than sitting in it?,Tier 2,"{'GAD': 1.0, 'BPD': 0.5}","{'condition': ['GAD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you tend to keep your struggles hidden until they boil over?,Like you bottle it all up until it bursts?,Tier 2,"{'CPTSD': 1.0, 'BPD': 0.5, 'Depression': 0.5}","{'condition': ['CPTSD', 'BPD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you find yourself zoning out when someone is talking — even if you care about what they’re saying?,Like your brain just floats off mid-conversation?,Tier 1,"{'ADHD': 1.0, 'CPTSD': 0.5, 'Depression': 0.5}","{'condition': ['ADHD', 'CPTSD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel panicky or uneasy when things are ‘too quiet’ or calm for too long?,Like silence makes your brain invent something to worry about?,Tier 2,"{'GAD': 1.0, 'OCD': 0.5}","{'condition': ['GAD', 'OCD'], 'emotion': ['panic'], 'narrative_type': ['lived_experience'], 'usage_mode': ['grounding']}"
Do you sometimes get the urge to escape your environment suddenly — even if nothing obvious triggered it?,Like your body says ‘get out’ before your brain knows why?,Tier 1,"{'CPTSD': 1.0, 'PTSD': 0.5}","{'condition': ['CPTSD', 'PTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel like you're constantly adapting to survive — not to thrive?,"Like you’re always adjusting, managing, dodging — but never just *being*?",Tier 2,"{'CPTSD': 1.0, 'Autism': 0.5, 'Depression': 0.5}","{'condition': ['CPTSD', 'Autism', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you often forget conversations, tasks, or ideas unless you write them down immediately?",Like your brain leaks information if you don’t capture it instantly?,Tier 1,"{'ADHD': 1.0, 'Depression': 0.5}","{'condition': ['ADHD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you get overwhelmed by choices — even small ones like what to eat or wear?,Like even little decisions carry too much weight sometimes?,Tier 2,"{'OCD': 1.0, 'GAD': 0.5, 'Autism': 0.5}","{'condition': ['OCD', 'GAD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes feel like your emotions are contagious — affecting everyone around you?,"Like your internal storm leaks into the room, even when you try to contain it?",Tier 1,"{'BPD': 1.0, 'PMDD': 0.5}","{'condition': ['BPD', 'PMDD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel anxious when people don’t reply quickly — even if there’s no reason to worry?,Like silence in a chat feels louder than it should?,Tier 2,"{'GAD': 1.0, 'BPD': 0.5}","{'condition': ['GAD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes feel a deep urge to isolate — even when part of you wants connection?,"Like the idea of people feels heavy, even if you’re craving comfort?",Tier 2,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you forget what you're doing mid-task — even if you were just focused a second ago?,Like your attention vaporizes in real time?,Tier 1,"{'ADHD': 1.0, 'CPTSD': 0.5}","{'condition': ['ADHD', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you ever feel like your body is bracing for impact — even in safe situations?,Like you’re waiting for something bad with no clear reason?,Tier 1,"{'CPTSD': 1.0, 'PTSD': 0.5, 'GAD': 0.5}","{'condition': ['CPTSD', 'PTSD', 'GAD'], 'emotion': [], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
"Do you need routines, rituals, or habits to feel grounded?","Like repetition soothes you, and disruption rattles you?",Tier 1,"{'Autism': 1.0, 'OCD': 0.5}","{'condition': ['Autism', 'OCD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel like your brain is always buzzing — even when your body is exhausted?,Like you're mentally overstimulated while physically wiped?,Tier 2,"{'ADHD': 1.0, 'PMDD': 0.5}","{'condition': ['ADHD', 'PMDD'], 'emotion': [], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
Do you find yourself avoiding things just because they feel *uncomfortable* — not dangerous?,Like your brain treats discomfort as threat?,Tier 2,"{'GAD': 1.0, 'CPTSD': 0.5, 'OCD': 0.5}","{'condition': ['GAD', 'CPTSD', 'OCD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you tend to second-guess your decisions — even small ones?,"Like you choose, then immediately wonder if it was wrong?",Tier 2,"{'OCD': 1.0, 'GAD': 0.5}","{'condition': ['OCD', 'GAD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you struggle to hold attention during conversations — even if you're trying?,Like your brain drifts and you miss part of what was said?,Tier 1,"{'ADHD': 1.0, 'CPTSD': 0.5}","{'condition': ['ADHD', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do your emotions sometimes feel too big to manage — even when they don't ‘make sense’?,Like you're *feeling too much* and don’t know where to put it?,Tier 1,"{'BPD': 1.0, 'PMDD': 0.5}","{'condition': ['BPD', 'PMDD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you avoid activities you once enjoyed — not because you don’t care, but because you don’t *feel* anything?",Like the color drained out of what used to matter?,Tier 1,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes feel like you're failing at ‘basic life stuff’ that others seem to handle easily?,Like everyday functioning takes you twice the effort?,Tier 2,"{'ADHD': 1.0, 'Depression': 0.5, 'Autism': 0.5}","{'condition': ['ADHD', 'Depression', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel emotionally sensitive to rejection or criticism — even subtle things like tone or phrasing?,Like you’re on alert for signs you’ve messed up or disappointed someone?,Tier 1,"{'BPD': 1.0, 'ADHD': 0.5, 'CPTSD': 0.5}","{'condition': ['BPD', 'ADHD', 'CPTSD'], 'emotion': ['abandonment'], 'narrative_type': ['metaphor'], 'usage_mode': ['compare_support']}"
"Do you lose things often — keys, wallet, phone — even if you just had them?",Like your hands are faster than your memory?,Tier 1,{'ADHD': 1.0},"{'condition': ['ADHD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you struggle to trust your memory — like you check and re-check things even when you ‘know’ you did it?,Like your brain won’t let you *feel* done?,Tier 2,"{'OCD': 1.0, 'ADHD': 0.5}","{'condition': ['OCD', 'ADHD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel uncomfortable receiving praise — like it doesn’t match how you see yourself?,"Like compliments feel off, or directed at a version of you that isn’t real?",Tier 2,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you ever feel like emotions catch up to you late — hours or days after the event?,"Like your body stores it, and it hits when you’re finally alone?",Tier 2,"{'CPTSD': 1.0, 'Autism': 0.5}","{'condition': ['CPTSD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you struggle to stay on one train of thought without jumping to others?,Like your brain tabs are always switching behind the scenes?,Tier 1,"{'ADHD': 1.0, 'Autism': 0.5}","{'condition': ['ADHD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you avoid conflict — not out of fear of anger, but fear of being misunderstood or invalidated?",Like you’d rather retreat than explain your side?,Tier 2,"{'CPTSD': 1.0, 'Autism': 0.5}","{'condition': ['CPTSD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': ['compare_support']}"
Do you feel pressure to mask or fake emotional reactions in group settings?,Like you perform what’s expected instead of what’s real?,Tier 2,"{'Autism': 1.0, 'CPTSD': 0.5}","{'condition': ['Autism', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel more clear-headed and emotionally regulated when you're alone?,Like being around people floods your system too fast?,Tier 2,"{'Autism': 1.0, 'CPTSD': 0.5}","{'condition': ['Autism', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you replay arguments or tense moments long after they’ve passed?,"Like your brain won’t let you ‘drop it,’ even if it’s over?",Tier 1,"{'GAD': 1.0, 'OCD': 0.5}","{'condition': ['GAD', 'OCD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes interrupt people not because you're rude — but because you're afraid you'll forget what you're about to say?,Like it's now or never for your brain to get it out?,Tier 1,{'ADHD': 1.0},"{'condition': ['ADHD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel like your moods are tied closely to your hormonal cycle?,"Like there's a rhythm to the highs and lows, and it tracks with your body?",Tier 1,{'PMDD': 1.0},"{'condition': ['PMDD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you notice that overstimulation makes you irritable — not anxious or sad, just angry?",Like your system flips to frustration when it’s too full?,Tier 2,"{'Autism': 1.0, 'ADHD': 0.5}","{'condition': ['Autism', 'ADHD'], 'emotion': ['overwhelm'], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often feel like there’s no space to *just be* — like you always have to earn your rest or existence?,Like relaxing feels undeserved unless you’ve ‘done enough?’,Tier 2,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel like your emotions are all-or-nothing — either flooding or numb?,Like there’s no middle gear — it’s silence or storm?,Tier 1,"{'BPD': 1.0, 'CPTSD': 0.5}","{'condition': ['BPD', 'CPTSD'], 'emotion': ['shutdown'], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you keep detailed mental or physical ‘safety routines’ — even if others don’t understand them?,Like certain habits or checks make you feel safe or in control?,Tier 2,"{'OCD': 1.0, 'Autism': 0.5}","{'condition': ['OCD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you mentally prepare for conversations — like you rehearse what to say in advance?,Like real-time dialogue feels risky or unpredictable unless prepped?,Tier 2,"{'Autism': 1.0, 'GAD': 0.5}","{'condition': ['Autism', 'GAD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you often feel like people misunderstand your tone — even when you’re trying to be clear?,"Like your intent gets lost and you feel guilty, awkward, or frustrated?",Tier 2,"{'Autism': 1.0, 'BPD': 0.5}","{'condition': ['Autism', 'BPD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you have moments of intense self-hate or disgust — even if they don’t last long?,Like a switch flips and you turn against yourself hard?,Tier 1,"{'BPD': 1.0, 'Depression': 0.5}","{'condition': ['BPD', 'Depression'], 'emotion': ['overwhelm'], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes feel like you’re just ‘playing the role’ of being okay — especially around others?,Like it’s all performance until you’re finally alone?,Tier 2,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you start new projects or ideas with excitement — but abandon them quickly?,"Like your brain runs on bursts, then fizzles out?",Tier 1,"{'ADHD': 1.0, 'Bipolar_II': 0.5}","{'condition': ['ADHD', 'Bipolar_II'], 'emotion': ['abandonment'], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel tension in your body most of the time — like your muscles are always slightly braced?,"Like your nervous system never fully settles, even when you're safe?",Tier 1,"{'CPTSD': 1.0, 'GAD': 0.5}","{'condition': ['CPTSD', 'GAD'], 'emotion': [], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
Do you tend to mentally script or over-plan social interactions ahead of time?,Like being spontaneous feels unsafe or risky in conversation?,Tier 2,"{'Autism': 1.0, 'OCD': 0.5}","{'condition': ['Autism', 'OCD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you ever feel like you're chasing a version of yourself you can’t quite reach?,"Like there's a ‘you’ you’re supposed to be, and you’re always falling short?",Tier 2,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you find it hard to let yourself rest without guilt?,Like you always feel like there’s something you should be doing instead?,Tier 2,"{'GAD': 1.0, 'Depression': 0.5}","{'condition': ['GAD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often feel like you’re in survival mode — even when life isn’t actively hard?,Like your nervous system is still stuck in ‘brace and endure’?,Tier 2,"{'CPTSD': 1.0, 'GAD': 0.5}","{'condition': ['CPTSD', 'GAD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you avoid conflict because you’re afraid you’ll be too much, not because you think you’re wrong?",Like your intensity might overwhelm the moment?,Tier 2,"{'BPD': 1.0, 'CPTSD': 0.5}","{'condition': ['BPD', 'CPTSD'], 'emotion': ['abandonment'], 'narrative_type': ['lived_experience'], 'usage_mode': ['reflection']}"
Do you often get distracted by your own thoughts — even during activities you usually enjoy?,Like your mind keeps pulling you away from what you're trying to focus on?,Tier 1,"{'ADHD': 1.0, 'Depression': 0.5}","{'condition': ['ADHD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you sometimes feel like your body is moving through the world, but your mind is somewhere else?",Like you’re going through the motions without really ‘being there’?,Tier 1,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
Do you find it hard to accept help — even when you want or need it?,Like receiving support feels vulnerable or dangerous?,Tier 2,"{'CPTSD': 1.0, 'BPD': 0.5}","{'condition': ['CPTSD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you overcommit — say yes to too many things, then feel overwhelmed?",Like you're trying to be dependable and stretch too far?,Tier 1,"{'ADHD': 1.0, 'GAD': 0.5}","{'condition': ['ADHD', 'GAD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes feel emotionally numb but physically anxious — like your mind and body are out of sync?,Like your heart’s racing but your brain’s flat?,Tier 2,"{'CPTSD': 1.0, 'Depression': 0.5}","{'condition': ['CPTSD', 'Depression'], 'emotion': ['shutdown'], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
Do you feel intense relief after cancelling plans?,Like you didn’t even realize how much dread or strain you were carrying until you were off the hook?,Tier 2,"{'Autism': 1.0, 'GAD': 0.5}","{'condition': ['Autism', 'GAD'], 'emotion': ['overwhelm'], 'narrative_type': ['lived_experience'], 'usage_mode': ['reflection']}"
Do you often get hit with unexpected waves of sadness — even when nothing is ‘wrong’?,Like grief or heaviness just appears out of nowhere?,Tier 2,"{'Depression': 1.0, 'PMDD': 0.5}","{'condition': ['Depression', 'PMDD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you find it hard to distinguish between being lazy and being exhausted?,Like you’re not sure if you're avoiding or just depleted?,Tier 2,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often feel emotionally ‘leaky’ — like small things spill out big reactions?,Like your threshold for holding it in is lower than others’?,Tier 1,"{'BPD': 1.0, 'PMDD': 0.5}","{'condition': ['BPD', 'PMDD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you need a long time to recover from social events — even fun ones?,Like your nervous system needs a cooldown after connection?,Tier 1,"{'Autism': 1.0, 'CPTSD': 0.5}","{'condition': ['Autism', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes fear being ‘too much’ for people — even when you try to be careful?,Like your emotions or needs might overwhelm others?,Tier 2,"{'BPD': 1.0, 'CPTSD': 0.5}","{'condition': ['BPD', 'CPTSD'], 'emotion': ['abandonment'], 'narrative_type': ['lived_experience'], 'usage_mode': ['reflection']}"
Do you find yourself analyzing how you’re being perceived in real time?,Like your brain is running commentary on how you’re coming across?,Tier 2,"{'GAD': 1.0, 'BPD': 0.5}","{'condition': ['GAD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often struggle to follow instructions unless you understand *why* they matter?,Like you can’t hold the steps if the meaning isn’t clear?,Tier 1,"{'ADHD': 1.0, 'Autism': 0.5}","{'condition': ['ADHD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you get emotionally overwhelmed by kindness or affection?,Like it’s almost too much to receive — even if you crave it?,Tier 2,"{'BPD': 1.0, 'CPTSD': 0.5}","{'condition': ['BPD', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes feel panicky in public spaces — even if nothing specific is happening?,Like the energy around you triggers something old and wordless?,Tier 2,"{'PTSD': 1.0, 'CPTSD': 0.5}","{'condition': ['PTSD', 'CPTSD'], 'emotion': ['panic'], 'narrative_type': ['lived_experience'], 'usage_mode': ['grounding']}"
